CustomerID,Country,balance,max_spent,mean_spent,min_spent,n_orders,time_between_orders,total_items,total_items_returned,total_refunded,total_spent
12346,United Kingdom,0.0,77183.6,38591.8,0.0,2.0,,74215.0,-74215.0,-77183.6,77183.6
12348,Finland,3874.5999999999995,2248.7999999999997,1291.533333333333,478.79999999999995,3.0,54.5,6876.0,0.0,0.0,3874.5999999999995
12350,Norway,294.40000000000003,294.40000000000003,294.40000000000003,294.40000000000003,1.0,,196.0,0.0,0.0,294.40000000000003
12352,Norway,1845.13,1054.1,393.092,0.0,5.0,11.333333333333334,774.0,-63.0,-120.33,1965.46
12354,Spain,1079.4,1079.4,1079.4,1079.4,1.0,,530.0,0.0,0.0,1079.4
12356,Portugal,6621.629999999998,5011.339999999998,3310.814999999999,1610.2900000000002,2.0,80.0,4455.0,0.0,0.0,6621.629999999998
12358,Austria,404.85999999999996,404.85999999999996,404.85999999999996,404.85999999999996,1.0,,98.0,0.0,0.0,404.85999999999996
12360,Austria,4359.34,2984.6000000000004,2179.67,1374.7400000000002,2.0,88.0,2116.0,0.0,0.0,4359.34
12361,Belgium,174.89999999999998,174.89999999999998,174.89999999999998,174.89999999999998,1.0,,90.0,0.0,0.0,174.89999999999998
12362,Belgium,4700.73,1437.0,787.255,0.0,6.0,58.0,2929.0,-10.0,-22.799999999999997,4723.53
12364,Belgium,1840.5199999999998,1840.5199999999998,1840.5199999999998,1840.5199999999998,1.0,,1656.0,0.0,0.0,1840.5199999999998
12373,Austria,324.6,324.6,324.6,324.6,1.0,,196.0,0.0,0.0,324.6
12377,Switzerland,1548.1199999999997,1001.5199999999996,774.0599999999998,546.6,2.0,39.0,942.0,0.0,0.0,1548.1199999999997
12378,Switzerland,4008.6200000000013,4008.6200000000013,4008.6200000000013,4008.6200000000013,1.0,,2529.0,0.0,0.0,4008.6200000000013
12379,Belgium,1117.6299999999997,1119.5799999999997,559.7899999999998,0.0,2.0,,610.0,-1.0,-1.95,1119.5799999999997
12380,Belgium,1632.25,1632.25,1632.25,1632.25,1.0,,798.0,0.0,0.0,1632.25
12381,Norway,3033.6699999999996,3033.6699999999996,3033.6699999999996,3033.6699999999996,1.0,,1790.0,0.0,0.0,3033.6699999999996
12383,Belgium,1617.31,591.1599999999999,271.4266666666667,0.0,6.0,41.25,1518.0,-3.0,-11.25,1628.56
12384,Switzerland,668.81,668.81,668.81,668.81,1.0,,186.0,0.0,0.0,668.81
12395,Belgium,5190.959999999999,963.6999999999998,520.876,0.0,10.0,36.42857142857143,5000.0,-4.0,-17.8,5208.759999999999
12397,Belgium,3143.7699999999986,3143.7699999999986,3143.7699999999986,3143.7699999999986,1.0,,2159.0,0.0,0.0,3143.7699999999986
12399,Belgium,1033.65,450.9,258.4125,115.07999999999998,4.0,47.333333333333336,1173.0,0.0,0.0,1033.65
12401,Belgium,69.3,69.3,69.3,69.3,1.0,,10.0,0.0,0.0,69.3
12402,Belgium,195.6,195.6,195.6,195.6,1.0,,92.0,0.0,0.0,195.6
12405,Finland,1390.3900000000006,1390.3900000000006,1390.3900000000006,1390.3900000000006,1.0,,849.0,0.0,0.0,1390.3900000000006
12407,Belgium,4142.000000000001,2011.9100000000008,1035.5000000000002,471.42,4.0,42.666666666666664,3800.0,0.0,0.0,4142.000000000001
12408,Belgium,3913.05,1988.0400000000002,657.3383333333334,0.0,6.0,42.0,2067.0,-9.0,-30.98,3944.03
12409,Switzerland,18957.51,18962.46,9481.23,0.0,2.0,,10510.0,-1.0,-4.95,18962.46
12410,Switzerland,521.0799999999999,465.33,177.77666666666664,0.0,3.0,0.0,207.0,-2.0,-12.25,533.3299999999999
12413,France,1471.0999999999997,1329.0499999999997,493.6833333333332,0.0,3.0,100.0,537.0,-1.0,-9.95,1481.0499999999997
12414,Austria,442.41,202.8,147.47,113.76,3.0,46.0,297.0,0.0,0.0,442.41
12418,Switzerland,668.5799999999997,668.5799999999997,668.5799999999997,668.5799999999997,1.0,,407.0,0.0,0.0,668.5799999999997
12421,Spain,1521.7600000000002,617.35,507.2533333333334,294.93000000000006,3.0,101.5,1322.0,0.0,0.0,1521.7600000000002
12423,Belgium,3677.8799999999997,866.3,612.9799999999999,388.64000000000004,6.0,31.8,2806.0,0.0,0.0,3677.8799999999997
12426,Germany,510.7299999999999,510.7299999999999,510.7299999999999,510.7299999999999,1.0,,254.0,0.0,0.0,510.7299999999999
12427,Germany,802.25,859.2,429.6,0.0,2.0,,266.0,-9.0,-56.95,859.2
12428,Finland,18407.030000000006,7577.8499999999985,1844.6290000000004,0.0,10.0,27.0,10348.0,-32.0,-39.260000000000005,18446.290000000005
12432,Norway,9530.610000000002,8420.010000000002,4765.305000000001,1110.6,2.0,0.0,4143.0,0.0,0.0,9530.610000000002
12433,Norway,10959.380000000001,5537.700000000002,5479.6900000000005,5421.68,2.0,7.0,9948.0,0.0,0.0,10959.380000000001
12437,France,6218.9800000000005,1246.68,627.373,0.0,10.0,18.625,4217.0,-5.0,-54.75,6273.7300000000005
12438,Norway,2274.8799999999997,2274.8799999999997,2274.8799999999997,2274.8799999999997,1.0,,1784.0,0.0,0.0,2274.8799999999997
12441,France,155.55,155.55,155.55,155.55,1.0,,120.0,0.0,0.0,155.55
12444,Norway,6655.780000000001,5086.940000000001,3327.8900000000003,1568.8399999999997,2.0,49.0,1824.0,0.0,0.0,6655.780000000001
12447,Belgium,431.49,431.49,431.49,431.49,1.0,,187.0,0.0,0.0,431.49
12449,Belgium,4525.24,2523.95,2262.62,2001.29,2.0,57.0,1898.0,0.0,0.0,4525.24
12450,Spain,197.88,101.88,98.94,96.0,2.0,17.0,128.0,0.0,0.0,197.88
12451,Switzerland,16495.89,8794.199999999999,5532.63,0.0,3.0,106.0,13206.0,-120.0,-102.0,16597.89
12453,Austria,707.0899999999999,707.0899999999999,707.0899999999999,707.0899999999999,1.0,,473.0,0.0,0.0,707.0899999999999
12456,Switzerland,5864.6900000000005,3247.429999999999,1963.9466666666667,0.0,3.0,123.0,3411.0,-17.0,-27.15,5891.84
12458,Switzerland,1065.1799999999998,1065.1799999999998,1065.1799999999998,1065.1799999999998,1.0,,854.0,0.0,0.0,1065.1799999999998
12461,Switzerland,626.8800000000001,626.8800000000001,626.8800000000001,626.8800000000001,1.0,,282.0,0.0,0.0,626.8800000000001
12462,Spain,1793.34,1814.1399999999999,907.0699999999999,0.0,2.0,,862.0,-4.0,-20.8,1814.1399999999999
12463,Belgium,2716.2599999999998,1000.7600000000001,680.415,0.0,4.0,32.5,1722.0,-4.0,-5.4,2721.66
12464,Belgium,2246.7,689.1,374.45,91.8,6.0,40.2,255.0,0.0,0.0,2246.7
12465,Belgium,1076.5,1076.5,1076.5,1076.5,1.0,,772.0,0.0,0.0,1076.5
12468,Germany,652.04,472.95,219.17999999999998,0.0,3.0,128.0,362.0,-2.0,-5.5,657.54
12471,Germany,30156.989999999998,7612.829999999999,1028.4356666666667,0.0,30.0,15.8125,13910.0,-146.0,-696.0799999999999,30853.07
12472,Germany,13001.81,4341.999999999999,1477.8644444444444,0.0,9.0,57.25,9054.0,-113.0,-298.96999999999997,13300.779999999999
12473,Germany,3117.3999999999996,1966.3599999999997,1052.62,0.0,3.0,77.0,2801.0,-71.0,-40.459999999999994,3157.8599999999997
12474,Germany,10720.140000000001,2152.97,571.0978947368421,0.0,19.0,16.818181818181817,7632.0,-39.0,-130.72,10850.86
12476,Germany,8137.78,3619.52,689.04,0.0,12.0,43.6,3516.0,-23.0,-130.70000000000002,8268.48
12477,Germany,12779.810000000001,6573.000000000001,3197.34,0.0,4.0,62.0,3742.0,-5.0,-9.549999999999999,12789.36
12480,Germany,5625.47,2238.0000000000005,1875.1566666666668,1369.14,3.0,96.0,3147.0,0.0,0.0,5625.47
12481,Germany,11659.27,2951.03,1296.081111111111,0.0,9.0,26.285714285714285,7248.0,-14.0,-5.46,11664.73
12484,Spain,9731.1,4033.179999999999,2441.9,0.0,4.0,116.0,5875.0,-5.0,-36.5,9767.6
12489,France,298.93,298.93,298.93,298.93,1.0,,103.0,0.0,0.0,298.93
12490,France,5177.47,2270.3599999999997,1294.3675,739.1999999999999,4.0,63.333333333333336,3292.0,0.0,0.0,5177.47
12492,Germany,405.75,405.75,405.75,405.75,1.0,,212.0,0.0,0.0,405.75
12493,France,362.79,196.5,126.58,0.0,3.0,31.0,204.0,-1.0,-16.95,379.74
12494,France,2436.6600000000003,1197.41,248.561,0.0,10.0,50.25,1097.0,-12.0,-48.95,2485.61
12500,Germany,5034.1,1333.5,839.0166666666668,410.03999999999996,6.0,45.2,3732.0,0.0,0.0,5034.1
12501,Germany,1945.6799999999992,2025.3899999999992,1012.6949999999996,0.0,2.0,,1775.0,-61.0,-79.71000000000001,2025.3899999999992
12502,Spain,6110.31,1954.01,1527.5775,1017.6,4.0,60.333333333333336,1607.0,0.0,0.0,6110.31
12506,France,73.50000000000003,73.50000000000003,73.50000000000003,73.50000000000003,1.0,,23.0,0.0,0.0,73.50000000000003
12507,Spain,1006.06,643.9,263.2025,0.0,4.0,82.0,896.0,-11.0,-46.75,1052.81
12509,France,158.5,158.5,158.5,158.5,1.0,,54.0,0.0,0.0,158.5
12510,Spain,814.57,597.0500000000001,407.285,217.52,2.0,182.0,347.0,0.0,0.0,814.57
12513,France,1696.8300000000002,1696.8300000000002,1696.8300000000002,1696.8300000000002,1.0,,1294.0,0.0,0.0,1696.8300000000002
12514,Italy,1017.6800000000002,1017.6800000000002,1017.6800000000002,1017.6800000000002,1.0,,440.0,0.0,0.0,1017.6800000000002
12515,Italy,278.7,278.7,278.7,278.7,1.0,,128.0,0.0,0.0,278.7
12516,Germany,1408.6999999999998,1408.6999999999998,1408.6999999999998,1408.6999999999998,1.0,,920.0,0.0,0.0,1408.6999999999998
12517,Germany,4384.35,2279.8800000000006,2192.175,2104.4699999999993,2.0,63.0,2584.0,0.0,0.0,4384.35
